I,iFail,nMin,nE04,nCall,P,V,T,RH,Volume(aq),n_Na(aq),n_Cl(aq),n_H2O(aq),n_H2O(g),n_HCl(g),Density(aq),SurfTens(aq),m_Na(aq),m_Cl(aq),x_Na(aq),x_Cl(aq),x_H2O(aq),f_Na(aq),f_Cl(aq),f_H2O(aq),p_H2O(g),p_HCl(g),total_Na,total_Cl,total_H2O
41,0,1,1,6,1,1,298.15,0.4096,9.62E+01,1.00E+00,1.00E+00,4.05E+00,5.30E-01,0.00E+00,1.37E+00,9.15E+01,1.37E+01,1.37E+01,1.65E-01,1.65E-01,6.69E-01,3.87E+00,3.87E+00,6.12E-01,1.28E-02,0.00E+00,1.00E+00,1.00E+00,4.58E+00
42,0,1,1,6,1,1,298.15,0.41959,9.76E+01,1.00E+00,1.00E+00,4.13E+00,5.43E-01,0.00E+00,1.36E+00,9.12E+01,1.34E+01,1.34E+01,1.63E-01,1.63E-01,6.74E-01,3.73E+00,3.73E+00,6.23E-01,1.31E-02,0.00E+00,1.00E+00,1.00E+00,4.67E+00
43,0,1,1,6,1,1,298.15,0.42958,9.90E+01,1.00E+00,1.00E+00,4.21E+00,5.56E-01,0.00E+00,1.36E+00,9.09E+01,1.32E+01,1.32E+01,1.61E-01,1.61E-01,6.78E-01,3.60E+00,3.60E+00,6.34E-01,1.34E-02,0.00E+00,1.00E+00,1.00E+00,4.76E+00
44,0,1,1,6,1,1,298.15,0.43957,1.00E+02,1.00E+00,1.00E+00,4.29E+00,5.69E-01,0.00E+00,1.35E+00,9.06E+01,1.29E+01,1.29E+01,1.59E-01,1.59E-01,6.82E-01,3.47E+00,3.47E+00,6.45E-01,1.37E-02,0.00E+00,1.00E+00,1.00E+00,4.86E+00
45,0,1,1,6,1,1,298.15,0.44956,1.02E+02,1.00E+00,1.00E+00,4.37E+00,5.82E-01,0.00E+00,1.35E+00,9.03E+01,1.27E+01,1.27E+01,1.57E-01,1.57E-01,6.86E-01,3.35E+00,3.35E+00,6.55E-01,1.41E-02,0.00E+00,1.00E+00,1.00E+00,4.95E+00
46,0,1,1,6,1,1,298.15,0.45955,1.03E+02,1.00E+00,1.00E+00,4.46E+00,5.96E-01,0.00E+00,1.34E+00,9.00E+01,1.25E+01,1.25E+01,1.55E-01,1.55E-01,6.90E-01,3.24E+00,3.24E+00,6.66E-01,1.44E-02,0.00E+00,1.00E+00,1.00E+00,5.05E+00
47,0,1,1,5,1,1,298.15,0.46954,1.05E+02,1.00E+00,1.00E+00,4.55E+00,6.09E-01,0.00E+00,1.34E+00,8.97E+01,1.22E+01,1.22E+01,1.53E-01,1.53E-01,6.94E-01,3.13E+00,3.13E+00,6.76E-01,1.47E-02,0.00E+00,1.00E+00,1.00E+00,5.15E+00
48,0,1,1,6,1,1,298.15,0.47953,1.07E+02,1.00E+00,1.00E+00,4.64E+00,6.22E-01,0.00E+00,1.33E+00,8.94E+01,1.20E+01,1.20E+01,1.51E-01,1.51E-01,6.99E-01,3.02E+00,3.02E+00,6.86E-01,1.50E-02,0.00E+00,1.00E+00,1.00E+00,5.26E+00
49,0,1,1,6,1,1,298.15,0.48952,1.08E+02,1.00E+00,1.00E+00,4.73E+00,6.35E-01,0.00E+00,1.33E+00,8.91E+01,1.17E+01,1.17E+01,1.49E-01,1.49E-01,7.03E-01,2.92E+00,2.92E+00,6.97E-01,1.53E-02,0.00E+00,1.00E+00,1.00E+00,5.36E+00
50,0,1,1,6,1,1,298.15,0.49951,1.10E+02,1.00E+00,1.00E+00,4.82E+00,6.48E-01,0.00E+00,1.32E+00,8.88E+01,1.15E+01,1.15E+01,1.47E-01,1.47E-01,7.07E-01,2.82E+00,2.82E+00,7.07E-01,1.56E-02,0.00E+00,1.00E+00,1.00E+00,5.47E+00
